Біграма;Кількість;Частота
то;10015;0.017363
ов;7069;0.012255
на;6810;0.011806
не;6743;0.011690
ст;6723;0.011655
но;6653;0.011534
ко;6248;0.010832
по;6212;0.010769
он;5697;0.009877
от;5556;0.009632
ни;5554;0.009629
ен;5487;0.009513
ра;5478;0.009497
ос;5282;0.009157
го;5270;0.009136
ал;5108;0.008856
ро;5053;0.008760
ка;4690;0.008131
пр;4653;0.008067
ет;4648;0.008058
ть;4515;0.007827
во;4491;0.007786
ер;4480;0.007767
ол;4341;0.007526
ак;4336;0.007517
ас;4230;0.007333
ло;4226;0.007326
ес;4171;0.007231
та;4166;0.007222
од;4147;0.007189
ом;4109;0.007124
ор;4016;0.006962
ел;4005;0.006943
те;3969;0.006881
ли;3950;0.006848
ва;3895;0.006753
ри;3748;0.006498
ве;3657;0.006340
ат;3638;0.006307
ит;3618;0.006272
ла;3577;0.006201
да;3565;0.006180
ре;3518;0.006099
ил;3500;0.006068
ль;3493;0.006056
ем;3443;0.005969
ин;3322;0.005759
ан;3271;0.005671
за;3220;0.005582
об;3191;0.005532
ав;3036;0.005263
ив;3014;0.005225
ог;3011;0.005220
мо;2990;0.005184
же;2943;0.005102
вс;2869;0.004974
де;2859;0.004957
ле;2802;0.004858
аз;2794;0.004844
чт;2689;0.004662
ме;2677;0.004641
ис;2662;0.004615
ам;2642;0.004580
ся;2634;0.004566
че;2632;0.004563
ск;2620;0.004542
ти;2583;0.004478
ед;2525;0.004377
ег;2514;0.004358
бы;2507;0.004346
до;2487;0.004312
оп;2446;0.004241
ьн;2371;0.004111
се;2356;0.004084
ик;2292;0.003974
ми;2285;0.003961
ви;2189;0.003795
тр;2181;0.003781
оч;2156;0.003738
ев;2078;0.003603
ма;2075;0.003597
им;2073;0.003594
еп;2068;0.003585
сь;2056;0.003564
ой;2023;0.003507
ну;1982;0.003436
нн;1971;0.003417
пе;1928;0.003342
тв;1903;0.003299
ад;1879;0.003258
ру;1857;0.003219
сл;1833;0.003178
со;1799;0.003119
вы;1777;0.003081
ча;1744;0.003023
ок;1739;0.003015
ож;1738;0.003013
эт;1713;0.002970
хо;1708;0.002961
ди;1690;0.002930
ид;1677;0.002907
ап;1675;0.002904
ны;1644;0.002850
ая;1640;0.002843
ки;1635;0.002835
ар;1634;0.002833
му;1596;0.002767
ое;1570;0.002722
ят;1545;0.002679
из;1537;0.002665
мн;1507;0.002613
уд;1497;0.002595
ше;1490;0.002583
бо;1465;0.002540
сп;1461;0.002533
ие;1444;0.002503
бе;1415;0.002453
еб;1391;0.002412
ут;1380;0.002392
ей;1378;0.002389
ип;1368;0.002372
вн;1354;0.002347
лс;1348;0.002337
их;1346;0.002334
ои;1337;0.002318
ьк;1332;0.002309
ду;1331;0.002307
ич;1325;0.002297
ае;1318;0.002285
оо;1306;0.002264
ыл;1304;0.002261
ее;1300;0.002254
ум;1300;0.002254
тс;1277;0.002214
зн;1276;0.002212
дн;1270;0.002202
ту;1258;0.002181
уж;1258;0.002181
ьс;1248;0.002164
ек;1238;0.002146
са;1230;0.002132
ез;1219;0.002113
ян;1204;0.002087
др;1204;0.002087
еч;1177;0.002041
яс;1171;0.002030
аж;1170;0.002028
кр;1162;0.002015
тн;1141;0.001978
ул;1134;0.001966
си;1129;0.001957
ус;1083;0.001878
ня;1074;0.001862
ии;1066;0.001848
лу;1063;0.001843
чи;1062;0.001841
ир;1058;0.001834
оз;1050;0.001820
яв;1047;0.001815
уг;1034;0.001793
св;1018;0.001765
ты;1003;0.001739
ач;992;0.001720
ио;991;0.001718
ля;982;0.001702
жи;961;0.001666
иб;958;0.001661
ия;956;0.001657
аи;955;0.001656
ши;952;0.001650
сн;944;0.001637
ще;922;0.001598
ку;913;0.001583
ео;911;0.001579
ый;904;0.001567
гл;888;0.001539
ун;880;0.001526
еи;876;0.001519
ув;875;0.001517
бу;875;0.001517
ыв;867;0.001503
жа;863;0.001496
бр;851;0.001475
уп;847;0.001468
см;839;0.001455
нь;838;0.001453
ьи;815;0.001413
еш;801;0.001389
аб;800;0.001387
уч;790;0.001370
ьв;783;0.001357
вд;776;0.001345
ао;767;0.001330
гд;742;0.001286
ош;738;0.001279
яд;733;0.001271
дв;730;0.001266
дь;728;0.001262
ым;727;0.001260
аг;723;0.001253
яп;723;0.001253
ьп;721;0.001250
йс;718;0.001245
ах;718;0.001245
ыт;711;0.001233
ьт;710;0.001231
ий;710;0.001231
кн;708;0.001227
ря;705;0.001222
ыс;696;0.001207
ук;691;0.001198
зв;689;0.001194
оя;685;0.001188
яи;669;0.001160
вп;667;0.001156
рь;664;0.001151
га;663;0.001149
ял;657;0.001139
еж;652;0.001130
иц;650;0.001127
сё;650;0.001127
ша;647;0.001122
ещ;643;0.001115
сс;639;0.001108
аш;633;0.001097
аю;627;0.001087
па;611;0.001059
хи;609;0.001056
су;601;0.001042
лн;598;0.001037
уб;598;0.001037
кт;595;0.001032
ры;590;0.001023
чн;588;0.001019
мс;587;0.001018
мп;584;0.001012
пи;584;0.001012
мы;572;0.000992
ые;570;0.000988
ых;569;0.000986
би;566;0.000981
иг;551;0.000955
пу;548;0.000950
це;547;0.000948
ье;546;0.000947
ьм;545;0.000945
ву;541;0.000938
рн;539;0.000934
жн;538;0.000933
зу;535;0.000928
зд;533;0.000924
ьо;533;0.000924
лю;526;0.000912
йн;522;0.000905
ую;520;0.000902
рт;518;0.000898
нс;517;0.000896
оу;510;0.000884
ай;509;0.000882
ья;507;0.000879
ех;506;0.000877
ют;490;0.000849
вр;489;0.000848
яо;487;0.000844
ох;485;0.000841
кс;482;0.000836
мв;481;0.000834
вл;481;0.000834
тк;479;0.000830
иш;476;0.000825
ба;475;0.000823
як;469;0.000813
вт;467;0.000810
нт;467;0.000810
гр;465;0.000806
вш;464;0.000804
йт;464;0.000804
кв;458;0.000794
чу;457;0.000792
шь;455;0.000789
йп;452;0.000784
ям;449;0.000778
вз;449;0.000778
бл;445;0.000771
жд;445;0.000771
лв;442;0.000766
еу;439;0.000761
тп;437;0.000758
ьч;437;0.000758
лп;435;0.000754
лы;433;0.000751
бя;431;0.000747
йд;426;0.000739
пя;426;0.000739
кл;419;0.000726
ги;419;0.000726
уш;419;0.000726
ур;417;0.000723
тч;416;0.000721
пл;415;0.000719
ою;410;0.000711
зо;408;0.000707
ын;408;0.000707
уи;407;0.000706
вк;394;0.000683
лк;392;0.000680
дл;384;0.000666
ьд;384;0.000666
ца;382;0.000662
чк;381;0.000661
йи;373;0.000647
щи;372;0.000645
нв;371;0.000643
иу;369;0.000640
лч;367;0.000636
кб;365;0.000633
нп;364;0.000631
яз;363;0.000629
ау;363;0.000629
яч;353;0.000612
шл;352;0.000610
шк;346;0.000600
тя;345;0.000598
гу;343;0.000595
йк;342;0.000593
ыш;341;0.000591
ке;334;0.000579
ух;333;0.000577
яр;333;0.000577
йч;330;0.000572
дя;328;0.000569
йв;328;0.000569
юс;328;0.000569
ьз;322;0.000558
нк;321;0.000557
нд;313;0.000543
рв;312;0.000541
тт;312;0.000541
уз;309;0.000536
ып;308;0.000534
сч;304;0.000527
ха;304;0.000527
мт;301;0.000522
юд;297;0.000515
мя;297;0.000515
ды;297;0.000515
лр;294;0.000510
хв;289;0.000501
шн;288;0.000499
хе;286;0.000496
ьб;286;0.000496
зя;279;0.000484
иж;278;0.000482
вв;277;0.000480
сд;277;0.000480
яе;276;0.000478
зи;276;0.000478
фи;273;0.000473
яб;273;0.000473
мк;272;0.000472
ща;269;0.000466
мд;268;0.000465
лт;265;0.000459
тд;264;0.000458
уо;261;0.000452
ея;259;0.000449
дс;259;0.000449
ыи;255;0.000442
зг;255;0.000442
юб;251;0.000435
рм;250;0.000433
ыд;248;0.000430
ге;243;0.000421
ыр;243;0.000421
тб;238;0.000413
лж;238;0.000413
гн;237;0.000411
ьш;236;0.000409
вч;235;0.000407
хн;234;0.000406
ию;233;0.000404
йм;232;0.000402
йо;228;0.000395
ык;228;0.000395
дт;228;0.000395
ью;227;0.000394
хп;227;0.000394
оэ;226;0.000392
яа;226;0.000392
рд;225;0.000390
кп;225;0.000390
ыб;224;0.000388
ец;223;0.000387
ци;222;0.000385
мч;220;0.000381
рф;220;0.000381
йр;219;0.000380
аэ;216;0.000374
ьх;212;0.000368
уе;207;0.000359
нч;206;0.000357
аа;206;0.000357
бн;204;0.000354
тл;202;0.000350
дк;200;0.000347
зр;200;0.000347
ях;200;0.000347
зы;198;0.000343
лд;196;0.000340
юп;194;0.000336
ьр;193;0.000335
зл;190;0.000329
ущ;188;0.000326
мр;184;0.000319
хс;184;0.000319
ьу;184;0.000319
дц;184;0.000319
рп;181;0.000314
ащ;181;0.000314
юв;180;0.000312
юи;180;0.000312
ьа;179;0.000310
иа;178;0.000309
ьг;178;0.000309
жу;178;0.000309
юн;177;0.000307
еа;176;0.000305
вэ;176;0.000305
лг;176;0.000305
мб;174;0.000302
яж;174;0.000302
яг;173;0.000300
мм;173;0.000300
ыо;173;0.000300
сю;171;0.000296
вг;171;0.000296
тм;170;0.000295
сх;170;0.000295
лб;169;0.000293
ср;168;0.000291
чь;168;0.000291
вя;168;0.000291
сб;167;0.000290
ощ;166;0.000288
уй;166;0.000288
яу;163;0.000283
ыч;163;0.000283
рж;162;0.000281
зм;162;0.000281
нб;161;0.000279
юч;160;0.000277
рш;160;0.000277
мг;159;0.000276
нр;158;0.000274
пы;157;0.000272
кд;157;0.000272
зе;156;0.000270
фа;155;0.000269
сж;155;0.000269
рс;154;0.000267
иэ;154;0.000267
йш;153;0.000265
вм;151;0.000262
йг;150;0.000260
рк;149;0.000258
цу;149;0.000258
ею;149;0.000258
юк;147;0.000255
яя;146;0.000253
ыг;144;0.000250
сы;144;0.000250
кк;144;0.000250
ню;143;0.000248
оа;140;0.000243
вб;139;0.000241
зк;139;0.000241
ху;138;0.000239
мз;136;0.000236
шо;135;0.000234
йб;134;0.000232
шу;133;0.000231
хм;133;0.000231
цо;132;0.000229
рю;132;0.000229
уа;131;0.000227
уя;131;0.000227
хд;130;0.000225
мл;130;0.000225
бс;129;0.000224
ющ;128;0.000222
фо;127;0.000220
хл;126;0.000218
хт;126;0.000218
лз;125;0.000217
еэ;125;0.000217
км;124;0.000215
цы;124;0.000215
ьэ;123;0.000213
нц;122;0.000212
ыз;122;0.000212
жк;122;0.000212
кч;122;0.000212
йе;119;0.000206
рг;119;0.000206
оф;119;0.000206
юо;117;0.000203
иф;116;0.000201
ьл;116;0.000201
юр;114;0.000198
вь;114;0.000198
тз;114;0.000198
хр;114;0.000198
йл;114;0.000198
бщ;114;0.000198
юм;113;0.000196
пь;113;0.000196
зп;113;0.000196
лм;109;0.000189
хк;109;0.000189
ъя;108;0.000187
дп;106;0.000184
щу;101;0.000175
яэ;97;0.000168
йз;96;0.000166
зс;96;0.000166
мж;94;0.000163
чш;93;0.000161
оц;93;0.000161
гп;93;0.000161
ищ;92;0.000159
лл;91;0.000158
тг;91;0.000158
кж;90;0.000156
ящ;90;0.000156
ыу;90;0.000156
яю;89;0.000154
уу;89;0.000154
йу;89;0.000154
бк;89;0.000154
нг;87;0.000151
ёэ;87;0.000151
тэ;86;0.000149
рб;86;0.000149
нз;86;0.000149
бъ;85;0.000147
хб;84;0.000146
нм;83;0.000144
фу;83;0.000144
зт;82;0.000142
гв;81;0.000140
дд;78;0.000135
зб;77;0.000133
ёп;76;0.000132
тю;76;0.000132
гс;76;0.000132
ац;76;0.000132
яц;76;0.000132
эр;75;0.000130
яй;74;0.000128
мь;74;0.000128
ьф;72;0.000125
тж;72;0.000125
гк;72;0.000125
вх;72;0.000125
жо;71;0.000123
ьц;71;0.000123
пн;71;0.000123
рр;70;0.000121
мэ;70;0.000121
зь;70;0.000121
юш;70;0.000121
рч;69;0.000120
рх;68;0.000118
тц;67;0.000116
аф;65;0.000113
дм;65;0.000113
лэ;64;0.000111
сз;64;0.000111
йа;64;0.000111
ьж;63;0.000109
сг;63;0.000109
кз;62;0.000107
ёв;61;0.000106
чо;61;0.000106
кг;60;0.000104
фэ;60;0.000104
ыэ;59;0.000102
йж;58;0.000101
кя;57;0.000099
фр;56;0.000097
кэ;55;0.000095
пк;55;0.000095
юж;54;0.000094
юа;54;0.000094
ёс;53;0.000092
дш;53;0.000092
нщ;53;0.000092
сш;52;0.000090
юз;52;0.000090
чр;52;0.000090
бэ;51;0.000088
уэ;51;0.000088
йэ;50;0.000087
гм;50;0.000087
хз;50;0.000087
ёт;49;0.000085
еф;49;0.000085
хч;47;0.000081
цв;46;0.000080
нл;46;0.000080
дч;46;0.000080
рл;44;0.000076
зж;43;0.000075
ён;43;0.000075
йц;43;0.000075
йх;42;0.000073
йя;42;0.000073
мх;42;0.000073
пт;42;0.000073
нф;41;0.000071
кх;41;0.000071
ёб;41;0.000071
бв;41;0.000071
жб;40;0.000069
ыж;40;0.000069
дб;40;0.000069
сэ;40;0.000069
шт;39;0.000068
сц;39;0.000068
дз;39;0.000068
юу;39;0.000068
мф;38;0.000066
бх;38;0.000066
ёе;38;0.000066
зз;38;0.000066
зч;38;0.000066
щь;37;0.000064
фе;37;0.000064
пп;37;0.000064
бм;37;0.000064
юг;37;0.000064
хэ;36;0.000062
яш;36;0.000062
ёр;36;0.000062
жь;36;0.000062
жс;36;0.000062
вц;35;0.000061
нх;35;0.000061
хг;35;0.000061
юл;35;0.000061
нэ;35;0.000061
дх;35;0.000061
мш;34;0.000059
рз;34;0.000059
ыя;34;0.000059
ыа;33;0.000057
эк;32;0.000055
тх;32;0.000055
гт;32;0.000055
ёо;32;0.000055
фь;32;0.000055
дж;31;0.000054
цп;31;0.000054
лш;31;0.000054
жв;31;0.000054
жт;31;0.000054
гз;31;0.000054
гч;30;0.000052
бь;30;0.000052
юю;30;0.000052
чп;29;0.000050
чв;29;0.000050
жп;29;0.000050
ьщ;28;0.000049
щн;28;0.000049
цк;27;0.000047
эх;27;0.000047
эл;26;0.000045
уф;26;0.000045
ёк;26;0.000045
бч;25;0.000043
тф;24;0.000042
юя;24;0.000042
лх;23;0.000040
юэ;23;0.000040
юе;23;0.000040
фг;22;0.000038
цт;22;0.000038
ёи;22;0.000038
ёд;22;0.000038
зъ;22;0.000038
жэ;22;0.000038
жя;22;0.000038
чс;22;0.000038
вж;21;0.000036
эн;20;0.000035
эд;20;0.000035
цс;20;0.000035
йф;20;0.000035
ёч;20;0.000035
ъе;19;0.000033
яф;19;0.000033
юх;19;0.000033
гб;19;0.000033
хж;19;0.000033
ёз;19;0.000033
гы;18;0.000031
тш;18;0.000031
мц;17;0.000029
фы;17;0.000029
юф;17;0.000029
ёу;17;0.000029
хш;17;0.000029
бт;17;0.000029
пс;17;0.000029
эй;16;0.000028
рц;16;0.000028
кш;16;0.000028
нш;16;0.000028
тщ;16;0.000028
цн;16;0.000028
жм;16;0.000028
хя;16;0.000028
чл;15;0.000026
зэ;15;0.000026
пч;15;0.000026
жл;15;0.000026
дэ;14;0.000024
дг;14;0.000024
ём;14;0.000024
гг;14;0.000024
лф;14;0.000024
вф;13;0.000023
её;13;0.000023
фт;13;0.000023
нж;13;0.000023
уц;12;0.000021
жч;12;0.000021
шм;12;0.000021
сф;11;0.000019
дю;11;0.000019
цч;11;0.000019
чб;11;0.000019
рэ;10;0.000017
зц;10;0.000017
тй;10;0.000017
ёл;10;0.000017
рщ;10;0.000017
жз;10;0.000017
зш;10;0.000017
ёх;10;0.000017
ыц;9;0.000016
жр;9;0.000016
бд;9;0.000016
кц;9;0.000016
чм;9;0.000016
съ;9;0.000016
фф;8;0.000014
юц;8;0.000014
хф;8;0.000014
фл;8;0.000014
бп;8;0.000014
гэ;8;0.000014
цр;8;0.000014
тъ;8;0.000014
ээ;8;0.000014
кф;7;0.000012
ёг;7;0.000012
цз;7;0.000012
бз;7;0.000012
гя;7;0.000012
чд;7;0.000012
бш;7;0.000012
вй;6;0.000010
нй;6;0.000010
эм;6;0.000010
эс;6;0.000010
зх;6;0.000010
эв;6;0.000010
цм;6;0.000010
пш;6;0.000010
хх;6;0.000010
ёж;6;0.000010
шв;6;0.000010
ыф;5;0.000009
шп;5;0.000009
шс;5;0.000009
пц;5;0.000009
ыщ;5;0.000009
ця;5;0.000009
чг;5;0.000009
цд;5;0.000009
хц;5;0.000009
пэ;4;0.000007
хщ;4;0.000007
щё;4;0.000007
аё;4;0.000007
эп;4;0.000007
йй;4;0.000007
дф;4;0.000007
цг;4;0.000007
фм;4;0.000007
шр;4;0.000007
вю;4;0.000007
шб;4;0.000007
ёя;4;0.000007
жж;4;0.000007
пб;4;0.000007
чч;4;0.000007
жг;4;0.000007
чз;4;0.000007
вщ;4;0.000007
мю;4;0.000007
вё;3;0.000005
фс;3;0.000005
кй;3;0.000005
чё;3;0.000005
мё;3;0.000005
тё;3;0.000005
зщ;3;0.000005
лщ;3;0.000005
щр;3;0.000005
чх;3;0.000005
бб;3;0.000005
йю;3;0.000005
пз;3;0.000005
чэ;3;0.000005
эг;3;0.000005
бю;3;0.000005
пё;2;0.000003
оё;2;0.000003
мй;2;0.000003
юй;2;0.000003
бё;2;0.000003
пв;2;0.000003
шг;2;0.000003
лё;2;0.000003
цх;2;0.000003
цб;2;0.000003
лц;2;0.000003
кщ;2;0.000003
дщ;2;0.000003
эч;2;0.000003
гж;2;0.000003
зю;2;0.000003
гх;2;0.000003
въ;2;0.000003
цф;2;0.000003
пд;2;0.000003
зф;2;0.000003
дё;2;0.000003
гф;2;0.000003
шд;2;0.000003
чя;2;0.000003
эф;2;0.000003
ёщ;1;0.000002
фд;1;0.000002
эо;1;0.000002
эж;1;0.000002
эи;1;0.000002
рё;1;0.000002
сй;1;0.000002
ьй;1;0.000002
нё;1;0.000002
фч;1;0.000002
жц;1;0.000002
ыю;1;0.000002
дъ;1;0.000002
бц;1;0.000002
жх;1;0.000002
ёш;1;0.000002
фб;1;0.000002
рй;1;0.000002
шя;1;0.000002
пх;1;0.000002
чж;1;0.000002
фп;1;0.000002
цл;1;0.000002
бж;1;0.000002
пг;1;0.000002
мщ;1;0.000002
шч;1;0.000002
цю;1;0.000002
йщ;1;0.000002
цш;1;0.000002
пм;1;0.000002
шж;1;0.000002
шз;1;0.000002
кю;1;0.000002
шц;1;0.000002
сщ;1;0.000002
цж;1;0.000002
цэ;1;0.000002
фв;1;0.000002
фк;1;0.000002
